姓名,出生地,毕业院校,当选年份
林祥棣,江苏省南通市,浙江大学,1997
池志强,浙江黄岩,浙江大学,1997
潘云鹤,浙江省杭州市,浙江大学,1997
魏复盛,四川省简阳县,中国科学技术大学,1997
薛群基,山东省沂南县,中国科学院,1997
王任享,福建省福州市,中国人民解放军测绘学院,1997
刘业翔,湖北省武汉市,中南矿冶学院,1997
钟世镇,广东省五华县,中山大学,1997
林浩然,海南省文昌市,中山大学,1997
甄永苏,广东省开平市,中山医学院,1997
杨士中,重庆江津,重庆大学,1997
朱尊权,北京市,中央大学,1997
吴慰祖,江苏省南通市,北京大学,1999
高洁,山东省济南市,北京大学,1999
陈国良,江苏宜兴,北京钢铁学院,1999
曾广商,湖南省长沙市,北京航空学院,1999
陈懋章,四川省成都市,北京航空学院,1999
钟群鹏,浙江上虞,北京航空学院,1999
高金吉,吉林省长春市,北京化工学院,1999
朵英贤,甘肃省永靖县,北京理工大学,1999
崔国良,河北省阳原县,北京理工大学,1999
黄先祥,江苏省如东县,北京理工大学,1999
朱之悌,湖南省长沙市,北京林学院,1999
孟兆祯,湖北省武汉市,北京农业大学,1999
侯锋,山东省平度市,北京农业大学,1999
刘尚合,山西省闻喜市,北京师范大学,1999
孙燕,河北省乐亭县,北京协和医学院,1999
于德泉,山东省蓬莱县,北京医学院,1999
郭应禄,山西省定襄县,北京医学院,1999
谢世楞,上海市,大连工学院,1999
于润沧,河北省（原察哈尔省）张家口市,东北工学院,1999
陈良惠,福建省福州市,复旦大学,1999
王威琪,上海,复旦大学,1999
沈家祥,江苏省扬州市,国立药学专科学校,1999
李玶,湖北省大悟县,国立中央大学,1999
孙玉发,黑龙江省嫩江市,哈尔滨工业大学,1999
李正邦,江苏省南京市,哈尔滨工业大学,1999
封锡盛,辽宁省海城市,哈尔滨工业大学,1999
沈世钊,浙江嘉兴,哈尔滨工业大学,1999
彭先觉,湖南省湘潭县,哈尔滨军事工程学院,1999
王泽山,吉林省吉林市,哈尔滨军事工程学院,1999
卢锡城,江苏省靖江市,哈尔滨军事工程学院,1999
董玉琛,河北省高阳县,河北省立农学院,1999
夏家辉,湖南省益阳市,湖南师范学院,1999
蒋士成,江苏省常州市,华东化工学院,1999
蒋士成,江苏省常州市,华东化工学院,1999
舒兴田,上海市,华东化工学院,1999
何镜堂,广东省东莞市,华南工学院,1999
李绍珍,广东省广州市,华南医学院,1999
樊明武,湖北省沙市区,华中工学院,1999
熊远著,湖北省竹山县,华中农学院,1999
唐启升,辽宁省大连市,黄海水产学院,1999
倪维斗,上海市,加里宁工学院,1999
刘人怀,四川省成都市,兰州大学,1999
刘人怀,四川省成都市,兰州大学,1999
黄伯云,湖南省南县市,美国衣阿华州立大学,1999
闻立时,湖北省武汉市,莫斯科钢铁学院,1999
鲜学福,四川省阆中县,莫斯科矿业学院,1999
武胜,黑龙江省阿城市,莫斯科有色金属学院,1999
曾庆元,江西省泰和县原籍,南昌大学,1999
邱定蕃,香港,南昌大学,1999
戴复东,广东省广州市（安徽省无为县人）,南京大学,1999
陈联寿,浙江省定海县,南京大学,1999
许绍燮,浙江省绍兴市,南京大学,1999
李幼平,福建省泉州市,南京工学院,1999
曹湘洪,江苏省江阴市,南京工业大学,1999
刘大钧,江苏省常州市,南京金陵大学,1999
刘广润,天津市宝坻区,"南京矿专地质专业,1955-1957年间留学苏联水电科学院",1999
冯宗炜,浙江省嘉兴市,南京林学院,1999
刘守仁,江苏省苏州市,南京农学院,1999
张懿,黑龙江省牡丹江市,年毕业于东北大学,1999
姜景山,吉林省龙井市,前苏联列宁格勒电工学院,1999
周济,上海,清华大学,1999
陈一坚,福建省福州市,清华大学,1999
罗绍基,广东省广州市,清华大学,1999
罗绍基,广东省广州市,清华大学,1999
裴荣富,河北省秦皇岛市,清华大学,1999
蒋洪德,湖南省衡阳市,清华大学,1999
于文虎,江苏省苏州市,清华大学,1999
孙家广,江苏省镇江市,清华大学,1999
周丰峻,山东省黄县,清华大学,1999
李道增,上海市,清华大学,1999
李冠兴,上海市,清华大学,1999
柳百成,上海市,清华大学,1999
陈冀胜,天津市,清华大学,1999
郑南宁,江苏省南京市,日本庆应大学,1999
郑南宁,江苏省南京市,日本庆应大学,1999
艾兴,江西省东乡县,厦门大学,1999
王文兴,安徽省萧县市,山东大学,1999
张福绥,山东省昌邑县,山东大学,1999
桑国卫,上海市,上海第一医学院,1999
曹楚生,江苏省无锡,上海交通大学,1999
刘友梅,江西省上饶市,上海交通大学,1999
徐乾清,陕西省城固县,上海交通大学,1999
刘彤华,江苏无锡,上海圣约翰大学,1999
闻玉梅,北京市,上海医学院,1999
周开达,重庆江津市,四川农学院,1999
潘君骅,上海市,苏联科学院,1999
周立伟,上海市,苏联列宁格勒电工学院,1999
施仲衡,江苏省苏州市,苏联莫斯科铁道运输工程学院,1999
王静康,河北省秦皇岛市,天津大学,1999
石学敏,天津市,天津中医学院,1999
刘经南,重庆市,武汉测绘学院,1999
张明高,湖北省京山市,武汉大学,1999
邬贺铨,广东省广州市,武汉邮电学院,1999
张锡祥,山西省文水县,西安电子科技大学,1999
李钊,河北省石家庄市,西安工程兵工程学院,1999
邱爱慈,浙江省绍兴市,西安交通大学,1999
吴明珠,湖北省武汉市,西南农学院,1999
曾苏民,湖南省双峰县,新风加工厂职工业余大学,1999
李德毅,江苏省泰州市,英国爱丁堡Heriot-Watt大学,1999
戴永年,云南省昆明市,云南大学,1999
陈吉余,江苏灌云县,浙江大学,1999
陈蕴博,上海市嘉定区,浙江大学,1999
杜善义,辽宁省大连市,中国科学技术大学,1999
宋湛谦,上海市,中国科学技术大学,1999
周世宁,江苏省扬州市,中国矿业学院,1999
钟山,四川省成都市,中国人民解放军军事工程学院,1999
魏正耀,上海市,中国人民解放军外国语学院,1999
高润霖,河北省唐山市,中国协和医科大学,1999
程书钧,江西省玉山县,中国协和医科大学,1999
